network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2620:119:50d2::/48,United States,US,North America,NA,AS13443,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e5::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e6::/47,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50e8::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2620:119:50ea::/48,United States,US,North America,NA,AS14413,LinkedIn Corporation,linkedin.com,unknown
2804:1b84::/32,Brazil,BR,South America,SA,AS61732,PRECISA INTERNET E COMUNICAÇÃO LTDA,icloud.com,unknown
2804:2e30::/32,Brazil,BR,South America,SA,AS265330,Ponto a Ponto Telecomunicaçoes,ptptelecom.com.br,unknown
2804:6524::/32,Brazil,BR,South America,SA,AS269471,LEHMKUHLL e ANTONELLI LTDA-ME,icloud.com,unknown
2804:7060::/32,Brazil,BR,South America,SA,AS270723,Poecom Telecom LTDA.,icloud.com,unknown
2804:78f4::/32,Brazil,BR,South America,SA,AS271276,K C C MATIAS-ME,icloud.com,unknown
2804:8758::/32,Brazil,BR,South America,SA,AS272703,MYLINK SERVICO DE COMUNICACAO MULTIMIDIA EIRELI,icloud.com,unknown
2804:8c00::/32,Brazil,BR,South America,SA,AS273773,UP TELECOMUNICAÇÕES,icloud.com,unknown
2804:8f80::/32,Brazil,BR,South America,SA,AS273494,"ROCHA, VIEIRA E CAMINHA LTDA",icloud.com,unknown
2804:958c::/32,Brazil,BR,South America,SA,AS274529,M.O. SERVICOS DE TELECOMUNICACOES LTDA,icloud.com,unknown
2a00:5540:1::/48,Iran,IR,Asia,AS,AS50763,MCKAYCOM Wireless,as50763.net,global_cdn_edge
2a01:130:10::/48,Iran,IR,Asia,AS,AS8495,INTERNET AG Global Network,inet.de,global_cdn_edge
2a01:528:6100::/40,Iran,IR,Asia,AS,AS6775,Andreas Fink trading as Fink Telecom Services GmbH,fink-telecom.com,global_cdn_edge
2a01:e140::/64,The Netherlands,NL,Europe,EU,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:1::/64,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:2::/63,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:4::/62,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:8::/61,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:10::/60,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:20::/59,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:40::/58,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:80::/57,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
2a01:e140:0:100::/56,Iran,IR,Asia,AS,AS214145,Seyed Pouria Mousavizadeh Tehrani,spmzt.net,hosting
